,AAPL,ABT,AMD,ANET,AVGO,BAC,BBY,BMY,CEG,COP,CVX,ETN,GE,HD,JPM,KO,LLY,MMM,NVDA,PEP,SMCI,TFC,TSM,UNH,USB,VRT,VST,WFC,WMT,XOM,JNJ
2026-04-14,258.8550109863281,101.06500244140624,255.05999755859372,154.42999267578125,380.7999877929688,53.34999847412109,,58.09999847412109,296.6099853515625,118.77999877929688,,,317.95001220703125,342.7099914550781,311.20001220703125,,,152.5500030517578,196.4900054931641,155.6999969482422,27.21999931335449,49.54999923706055,380.0400085449219,314.2799987792969,56.09999847412109,310.4800109863281,164.0,81.7300033569336,125.0500030517578,149.22000122070312,240.1499938964844
2026-04-15,,101.51000213623048,258.1099853515625,154.27999877929688,396.6099853515625,54.31999969482422,63.400001525878906,57.880001068115234,294.75,118.87000274658205,184.8300018310547,395.0499877929688,313.8699951171875,338.8500061035156,305.8599853515625,75.30999755859375,904.8499755859376,151.1999969482422,198.8677978515625,154.72999572753906,27.295000076293945,49.60499954223633,375.2850036621094,314.1099853515625,56.380001068115234,301.1499938964844,162.97000122070312,80.30000305175781,124.75,,238.6499938964844
2026-04-16,263.3599853515625,95.47000122070312,278.260009765625,,398.3599853515625,53.4900016784668,,58.959999084472656,299.1700134277344,121.54000091552734,188.1499938964844,392.75,298.2300109863281,337.1400146484375,309.8500061035156,75.16500091552734,,150.5500030517578,198.2400054931641,158.3699951171875,28.3799991607666,49.400001525878906,363.2496948242188,316.3900146484375,55.45000076293945,294.0599975585937,165.50999450683594,81.22899627685547,124.81999969482422,151.85000610351562,234.5399932861328
2026-04-17,270.1849975585937,96.83000183105467,278.2799987792969,,406.4500122070313,,65.7300033569336,60.16999816894531,296.1300048828125,,183.97999572753903,406.25,,349.3900146484375,310.239990234375,75.73999786376953,926.72998046875,154.52999877929688,201.6499938964844,157.6699981689453,28.54990005493164,50.54999923706055,370.510009765625,324.510009765625,56.900001525878906,307.260009765625,163.47000122070312,81.38500213623047,127.47000122070312,146.4199981689453,
2026-04-20,272.92999267578125,96.0199966430664,274.9599914550781,166.86000061035156,399.8399963378906,53.93999862670898,66.94999694824219,59.130001068115234,287.5299987792969,116.44000244140624,183.2400054931641,407.80999755859375,303.7699890136719,350.9800109863281,317.0899963378906,75.50499725341797,920.4000244140624,151.41000366210938,202.1100006103516,156.97999572753906,28.81999969482422,50.86000061035156,366.2900085449219,323.510009765625,57.0099983215332,314.5299987792969,159.61000061035156,81.9800033569336,127.94000244140624,147.67999267578125,230.6000061035156
2026-04-21,266.2200012207031,92.74500274658205,284.4200134277344,172.86000061035156,402.25,53.470001220703125,66.59500122070312,59.39300155639648,277.7099914550781,,,409.7000122070313,286.7799987792969,343.92999267578125,313.010009765625,74.70999908447266,903.02001953125,148.4600067138672,199.91000366210935,154.94000244140625,28.40999984741211,51.06999969482422,367.9599914550781,346.0199890136719,56.84999847412109,312.44000244140625,154.89999389648438,81.5250015258789,129.60000610351562,148.3699951171875,226.1499938964844
2026-04-22,,91.7300033569336,303.44000244140625,177.66000366210938,,53.095001220703125,,58.79999923706055,287.0199890136719,,186.32000732421875,413.8699951171875,276.2300109863281,339.4150085449219,,,921.280029296875,145.74000549316406,202.4199981689453,153.77999877929688,29.190000534057617,50.93999862670898,387.510009765625,353.4100036621094,56.595001220703125,305.0199890136719,155.74000549316406,80.56500244140625,129.9600067138672,149.47999572753906,226.0800018310547
2026-04-23,273.44000244140625,92.41999816894533,305.239990234375,,419.9800109863281,,61.4900016784668,59.025001525878906,292.7699890136719,124.37999725341795,187.58999633789065,424.6400146484375,,340.1400146484375,311.70001220703125,76.30500030517578,917.219970703125,144.85000610351562,199.7100067138672,155.6999969482422,26.729999542236328,51.400001525878906,382.4500122070313,354.5199890136719,56.630001068115234,321.79998779296875,156.85000610351562,80.4800033569336,132.02999877929688,150.5399932861328,230.6300048828125
2026-04-24,271.0599975585937,,347.760009765625,176.88999938964844,422.75,52.040000915527344,60.43999862670898,58.709999084472656,313.5199890136719,121.66000366210938,185.1100006103516,423.8900146484375,284.6199951171875,335.9100036621094,308.2900085449219,76.62999725341797,884.27001953125,145.99000549316406,208.19000244140625,155.41000366210938,,50.709999084472656,402.4100036621094,354.8999938964844,55.560001373291016,323.3599853515625,164.36000061035156,79.41000366210938,129.91000366210938,148.86000061035156,227.4550018310547
2026-04-27,267.67999267578125,92.84500122070312,334.4800109863281,172.47999572753906,418.3200073242188,52.63999938964844,59.2599983215332,57.77999877929688,315.1400146484375,,184.8800048828125,416.7900085449219,284.5799865722656,332.260009765625,311.7300109863281,75.44999694824219,868.239990234375,145.75,216.6300048828125,154.10000610351562,27.86000061035156,51.2400016784668,404.9599914550781,354.7300109863281,55.98500061035156,322.6099853515625,166.5800018310547,80.58499908447266,127.56999969482422,148.19000244140625,225.33999633789065
